"_id","joke","cat","nid"
"rr6xn3_MJmp","Чукане на вратата: - Кой е? - Аз съм, вашият доктор. - Извинете, докторе, но не мога да ви приема. Чувствам се зле.","Доктори",14436
"rQ8b8uXWwoj","Днес Съюза на производителите на растителни масла публикува във всички вестници платено съобщение: ""Олиото ще поскъпва!""","Надписи",35894
"rpqMJqzyT_x","Блондинка: - Исках да се омъжа през 2010-та година, че по-лесно се смята...","Блондинки",37179
"rO_K499jgdi","При военния лекар идва новобранец с кашлица. Лекарят по погрешка му дава разслабително. На другия ден двамата се срещат на плаца. - Е, как е, боец? Кашляш ли още? - Не смея…","Доктори",43742
"rn5eEo8RWw","- Тате, какво е неудачна шега? - Ами ето ти пример, миналата година се пошегувах за първи април - изпратих телеграма на тъщата - ""Ела на гости!"", а тя взе, че дойде!","Родители",21476
"Rmnpx5drsX","Отишли мъж и жена на кино. Жената била с мини-пола и съответно около нея всички мъже я зяпали. По едно време на мъжа му писнало и хванал жена си и излезли от киното. - С твоята мини-пола ми прецака целия филм. - А ти с твоя мини-член ми прецакa целия живот.","Жени",20085
"rMJJJ0cwO8K","Две мутри се срещат на улицата и си приказват за най-различни неща. По едно време единият пита: - Абе, брато, ти знаеш ли, какво е това френска любов? - Знам бе! Лижеш там където се пишка! - Аха! Това го знам, ама не знам кое, пластмасовото или порцелановото, бе?","Борци",37757
"RM9HNQ1PtyG","На въпрос на жена си, каква е новата му секретарка, мъжът доволно обяснява: - Тя е толкова опитна, изпълнителна, старателна. - Надявам се, че не е такава кукла, като предишната ти секретарка? - ревниво отбелязва съпругата. Тук се намесва петгодишната дъщеря, която си играе наблизо: - Тате, а затваря ли си очичките, когато я сложиш да легне по гръб?","Жени",31200
"rLYpGX2mHy","Пациент подава на доктора банкнота и казва: - Огромно благодаря, докторе! Докторът, поглеждайки банкнотата: - Не преувеличавайте, не е чак толкова огромно...","Доктори",21886
"RiJbcYNEWRD","Един мъж се хвали пред колеги в работата си: - Моята жена ми казва, че съм най-добрия в леглото. А колегите: - А с кой те сравнява?","Жени",20071
"RIEpsBbhJ3","Селска сватба. Младоженците се затварят в спалнята за първата брачна нощ. Ден не излизат, после втори... Тъщата не издържа и тихо чука на вратата им: - Дъще, да бяхте излезли за малко!? - Мамо, ние се наслаждаваме на плодовете на любовта! - вика булката иззад вратата. - Тогава не хвърляйте обелките от тези плодове през прозореца, че гъските се давят!...","Дъщери",15794
"rhoRf1t92rs","- Добър апетит! - Ти си дебело прасе!","Животни",19243
"rHg4eEFIUL","- Вярно ли е, че МБМД и Microsoft са се обединили?  - Да, вярно е. Ще се казват Ем Micro, Ем Soft.","Разни",19332
"RhAdr-MnvTx","Иванчо пита в аптеката: - Имате ли нещо обезболяващо? - А какво те боли? - Засега нищо, но тате отиде на родителска среща...","Татковци",36864
"rgg0V8Gm9pw","Един млад мъж се оженил. След първата брачна нощ негов приятел го пита: - Е, жената оказа ли се честна? - Да. - А кръв имаше ли? - Не. - А казваш честна?! - Тя обеща, че кръв ще има след двадесет и пети.","Мъже",16324
"REk0i2498X","Мъж се прибира от командировка. Отваря вратата, а към него се хвърля жена му полугола и крещи: - Да бягаме оттук бързо! Току-що съобщиха, че някъде вкъщи е заложено взривно устройство! - Само секунда скъпа! Само да проверя да не е в гардероба!","Командировки",52737
"RDJvH-K9yh6","- Бабо, защо са ти толкова големи очите? - За да виждам по-добре, внучко. - Бабо, а защо са ти толкова големи ушите? - За да чувам по-добре, внучко. - Бабо, а защо ти е толкова голям носът. - Ех, така сме си ние слоновете, внучето ми...","Баби",13844
"RDGgxL5ovw","Една жена отишла на доктор: - Докторе, като видя мъж почвам да хълцам. - Влез в онзи килер ей там. - рекъл докторът. След малко дошъл един мъж: - Докторе, когато видя жена почвам да пърдя. - Влез в онзи килер ей там. - рекъл докторът. След малко пристига една жена: - Докторе, като видя мъж почвам да псувам. - Влез в онзи килер ей там. - рекъл докторът. След нея дошъл един мъж: - Докторе, като видя жена почвам да пея. - Влез в онзи килер ей там. - заръчал докторът. Заключил ги в килера и след малко през вратата се чуло: - Хлъц, пръц, тралала, да ти е*а майката…","Жени",33476
"Rd7LLS9FQ5Q","Прибира се развеселен Генко след Коледното парти и казва на жена си: - Не усещаш ли Коледния дух? - Не, само Коледния ти дъх...","Генко",14857
"rcSWZ-aJB5","Жена към съпруга си: - Какво означава този рус, дълъг косъм, който намерих върху ризата ти? - Означава, че не си ми прала ризата, откакто стана брюнетка.","Брюнетки",12903
"RCRxIH9B5Mh","Келнерката: - Имате ли някакви въпроси по менюто? Павлин: - Що за шрифт е това?","Келнери",40152
"rCICpy8-Kmi","Учителката вика в училището бащата на Иванчо. - Вашият син се държи лошо в училище: пуши, пие бира, закача момичетата. За нас това е неприемливо, тук учат прилични деца и работят изключителни педагози. - Някак може ли да изгладя вината на сина ми. Скоро е 8-март, нещо да ви донеса. - Водка, презервативи и цигари за всички учителки!","Иванчо",35754
"RbfS0TaV1v6","Художник отива при директора на художествена галерия и пита: - Как е? Продават ли се картините ми? Директорът: - Представяте ли си, вчера дойде един мъж и ме помоли, да му покажа вашите картини. След това ме попита, дали ще станат популярни след смъртта на автора, както се случва с великите художници. Аз естествено му казах, че ви познавам много добре и съм сигурен, че след вашата смърт цената им ще се вдигне многократно. И той взе, че купи всичките ви картини. Художникът: - Ама, това е великолепно! Директорът: - Хм, да, но има едно НО! Той каза, че е вашият личен лекар…","Директори",15277
"r8akVmczBq","- Струва ми се, че жена ми иска да се разведе с мен.   - Защо така мислиш?   - Вчера доведе на гости една нейна приятелка.   - И какво от това?   - Как какво от това?! Нямаш си представа колко е красива!","Жени",23893
"r7U_npncg-W","Стар професор се оженил за своя студентка. В първата брачна нощ: - Жени, ти имаш ли деца? - Не, миличък! - Жени, а майка ти не ти ли е разправяла за тия неща? - Не, съкровище! - А приятелките? - Ами не! - А книги не си ли чела на тази тематика, миличко? - Не, професоре! - Лошо! Много лошо! И аз всичко съм забравил!","Жени",34201
"r5OuETaEqFM","Малка къртица излизнала по погрешка на нудистки плаж между краката на мадама. - Ежко, ти ли си? - попитало къртичето, но никой не му отговаря. И пак попитало: - Ежко, ти ли си бе? - отново мълчание. Душило, душило и през сълзи на очи казало: - Ма ти си умрял бе, ежкооо!","Умрели",19607
"R54CwEQJux","Умира човек и... право на небето. Първото, което вижда е огромно дърво, окичено със звънчета. ""Новодошлият"" пита Свети Петър:  - Какво е това?  - Това е дървото на лъжата. Когато някой излъже някого, камбанките звънят.  В този момент няколко звънчета се развънели.  Свети Петър казал:  - Ето, виждаш ли - това означава, че търговците рекламират...  Зазвънели повече от половината камбанки.  - Ето... сега пък бизнесмени предават данъчните си декларации...  Раздал се оглушителен звън и цялото дърво се разклатило.  - О, и предизборната кампания в България започна!","Данъчни",38614
"R52e08GXXF","Мравката и слона отишли на басейн. Слона веднага се топнал във водата, а мравката се разтършувала из багажа си...  - Слоне, излез от водата! - провикнала се мравката  - Ама що?  - Излез бе!  - Що ма, мравке?  - Бе излез бе! - настоявала мравката.  Слонът се показал над водата. Мравката го огледала и му казала:  - Хубаво, можеш да си влезеш пак. Не си ми обул банския.","Животни",21118
"R4eFsWdabW0","Кокошката снесла пет килограмово яйце. При нея изпращат репортер от местния вестник.   - Как стана това?   - Тайна.   - Какви са бъдещите ви планове?   - Да снеса шест килограмово яйце.   След това репортерът задава въпроси на петела:   - Как стана това?   - Тайна!   - Какви са следващите ви планове?   - Да счупя главата на щрауса!","Животни",19610
"R3o1AhvghBb","Най-страшните женски реплики по време на мач: 1. Кои са наште? 2. Дай само за секунда да погледна какво дават по другия канал. 3. А, Турция ли играе… Мило, кога ще ме заведеш в Турция? 4. Тоя с флагчето играе най-слабо. Топката минава до него, а той не я рита. 5. Ужас! Края на ноември, а те с къси ръкави и шорти. 6. Тоя защо свири? Съдия ли е? А за какво ги съди? Ще вкара ли някой в затвора? 7. Какви са тия фигурки, които са нарисувани по тревата? 8. А, Бекъм ли е на терена? А къде е жена му? 9. Тоя на вратата защо е с ръкавици в тая жега? 10. Тоя идиот докога ще свири? Да свирне веднъж и да си ходи, всички вече го чуха. Нали, мило? 11. Защо го гледаш тва първенство, като не играят наште?","Футбол",40985
"r3HKBO-O6Vo","Съдят Генко. Съдията: - Подсъдими, вие сте оправдан по обвинението в многоженство. Свободен сте и може да се върнете при жена ви. - При коя от тях, Ваша Чест?","Генко",15181
"R3d8awOiuw","Мъж пита жена си: - Ти виждала ли си един долар, толкова смачкан, че нищо не е останало от него? - Не. Тогава мъжът смачква един долар и го показва. - Ти виждала ли си сто долара, толкова смачкани, че нищо не е останало от тях? - Не. Мъжът смачква и банкнота от сто долара. - Ти виждала ли си десет хиляди долара, толкова смачкани, че нищо не е останало от тях? - Не. - Отиди в гаража да видиш!","Жени",24087
"r3-Of3CZjg","Самотните жени се жалват, че всички свестни мъже са вече женени. Омъжените жени се жалват от мъжете си. Извод: свестни мъже няма.","Жени",19566
"R0h1D0jwvLm","От света на науката. Директорът на обсерваторията професор Донжуанов съобщи, че най-интересното на новата звезда се е оказало черната дупка.","Директори",16217
"qzmH8djrb5f","Жена говори на мъжа си:   - Скъпи, гледай, колко безупречно бяла е твоята тениска, след последното изпиране с новият ""Ариел""...   - Хм, бяла, на мен с картинките си ми харесваше повече...","Жени",21518
"qxaRdrUhsqS","- Знаеш ли какво става с момичетата, които не си ядат закуската? - пита майка малката си дъщеря. - Да, стават манекенки.","Майки",14218
"qWWtPAgqLY","Опитна майка съветва дъщеря си: - Представи си, че това е чуждо дете. А как се възпитават чужди деца всички знаят!","Дъщери",16298
"qwoFV-IhiHq","- Кое е общото между предприсъединителните фондове на Европейския съюз и НЛО? - Непрекъснато за тях чуваш, а никога не си ги виждал.","Разни",20950
"qVq8rtuCkkk","- Този автомобил Ваш ли е?   - Частично е мой.   - Как така?!   - Ами как, по документи е на жена ми, кара го синът ми, понякога за уикенда го взима дъщеря ми, когато трябва да се ремонтира е мой.","Авто",35824
"QVbzOslp6av","Жена взима неща за бръснене и се заключва в банята. По някое време подвиква на мъжа си: - Скъпи, а какво правиш, за да се избръснеш добре около устните? - Подпирам устните отвътре с език. - Скъпи, нужна ми е твоята помощ.","Жени",20192
"Qv06qeaMtFu","Едно птиче умряло от студ и паднало на пътя. Минала една грозна крава и го посрала. От топлината на говното птичето се съживило и почнало да чурулика, че е живо. Чула го една котка и го извадила от говното. И го изяла. Няма значение колко е стара тази история, важно е че: не всеки, който се посере, ти прави лошо. Не всеки, който те вади от говното, ти прави добро. И още нещо имаше като поука: когато си до шията в говна, недей да чуруликаш много.","Животни",17329
"qTOHIC98XD","Иванчо получил двойка по математика. Баща му го пита защо. - Не можах да намеря най-малко общо кратно. - Как? Ама за тридесет години още ли не са го намерили?","Иванчо",18993
"QtFC2a2M9Nn","- Обичаш ли бира с цаца? - Не, повече обичам с приятели.","Бира",12326
"qsuVLxW00WN","В детската градина Иванчо внимателно гледа маникюра на възпитателката и казва: - Госпожо, имате много дълги нокти. - Да, харесват ли ти? - Харесват ми. Сигурно с тях много добре се катерите по дърветата.","Иванчо",35775
"QrhAAS326hZ","Майката на Иванчо му се кара: - Целият си мокър! - Да, мамо! Играхме с Петър на кучета! - Ти ли беше кучето? - Не, мамо! Аз бях дървото!","Иванчо",36891
"QQiBoJ3gbM","Млада фолк звезда среща музикален критик: - Знаете ли, че след като пуснах новия си клип, продажбата на телевизори се е увеличила два пъти! - Разбира се! И аз продадох моя!","Професии",42576
"qpFN1r_4q1","След прегледа, психиатърът към пациента: - Трябва да прекратите умствената работа? С какво се занимавате? - Докторе, депутат съм. - А-а! Тогава може!","Депутати",16573
"qoQ5ID8ZrY","Спасителят на басейна към компания: - Вие, групата, дължите глоба. - За какво? Щото пием бира? - Не, бира може да се пие. Глобата е за това, че пиете вече пети час бири, а никой не е ходил до тоалетната.","Бира",34811
"qOOlUx6aOi","Иванчо и Грозданчо били в клас. Иванчо нямал уши и Грозданчо му се присмивал постоянно, но Иванчо се разревал. Влязла госпожата и го попитала: - Иванчо, защо плачеш?  - Защото Грозданчо ми се подиграва, че нямам уши! - казал Иванчо. - Грзоданчо, ако пак го направиш, ще викна майка ти в училище! - казала госпожата. - Добре! - казал Грозданчо. Започнали разговор Иванчо и Грозданчо: - След 10, 20 години ще имаш деца и трябва да им четеш нещо! - рекъл Грозданчо. - Да, ще им чета! - отговорил му Иванчо. - Ами като станеш на 60, 70 години няма да виждаш добре! - казал Грозданчо. - Ами ще сложа очила. - рекъл Иванчо. - На какво ще ги сложиш тези очила бе, Иванчо?","Иванчо",35920
"qNMFgsj1R1","Младеж казва на мацка: - хайде да отидем у нас. Ще пием кафенце, ще си поговорим, ще се изчукаме... - Не ща, благодаря!!! Обидено мацето си тръгнало. Младежът: ""Ама съм глупак! ..Трябваше по-внимателно"". Мацката: ""Ама, че е глупак! Колко пъти да му казвам, че следобед кафе не пия!!""","Младежи",26807
"qmmDeCkPwGt","Мъж влиза в кръчмата: - За мен седем ракии... Благодаря. А сега махнете първата и последната. - Защо? - Първата трудно влиза, а от последната правя глупости.","Кръчми",42341
"QmklUJolIS","- Как се казва електронно писмо пратено от жена? - Female.","Жени",20327
"qmbepJzqm4x","Дълбока зима. Из гората ходи мечока и си бие главата в дърветата: - Защо ми беше да пия толкова нескафе?","Животни",19249
"Qm0yN-A0OUB","Надпис на надгробна плоча: ""Тук лежи жена ми, а аз у дома си почивам в мир!""","Жени",19605
"QlPfDaSKbT","Мутра в магазин за електоуреди се обръща към продавачката.  - Една ютия.  - Каква да бъде? По-мощна, по-слаба, с тефлоново покритие, с пара или без?  - Такава, с която да боли повече...","Борци",37548
"qkZRIeE4qd","Голям мъж(и в прекия и преносния смисъл), български чиновник с все сила бие хванатия любовник в леглото. Жена му: - Скъпи, какво правиш?! Ще го убиеш! - Нека! - Ще те арестуват! - Нека! - Ще те изключат от партията! Мъжът спира. Любовникът, пълзешком напуска спалнята, стига в антрето: - Слава на ""ГЕРБ""!","Жени",19853
"qkRwSlTsJ4J","Две гарги си говорят, кацнали на едно дърво: - Еееей какъв едър и топъл дъжд заваля! - възкликнала долната. - Какъвто си искам, такъв го пускам! - заядливо отвърлала горната...","Животни",19433
"qkrgJy0WWX0","Мъж и жена в леглото. Той иска, тя се оправдава - глава я боли, рано ще става... По едно време мъжът вади пръстен с диамант. Тя: - К'во? Мислиш си, че ще се продам за някакъв пръстен? За каква ме имаш? Някаква евтина продажница... Или малка ученичка... Или палава медицинска сестра?","Жени",26719
"QKLfEDN2RB","Отива един при шефа на цирка с една свиня и казва: - Искам при вас да участвам с номер? Шефа: - А какво умееш? - Свинята ми говори френски. Шашнат шефът го моли да покаже. Онзи се обръща към свинята и казва: - Парле ву франсе? След това я ритва силно с крак в ребрата. Свинята: - Уиии - Уиии - Уиии...","Животни",17306
"Qk5psrlplk","По време на полет стюардесата пита: - Има ли доктор в самолета? Става един и и отива в пилотската кабина. След няколко минути излиза и казва на стюардесата: - Извинете, но в този случай не мога да излекувам страх от височина...","Доктори",14249
"qjTuDte-Kj","На нуди плажа - мъж и жена. - Скъпа, знаеш ли какво ми се иска сега?! - Да, не съм сляпа.","Жени",20130
"QJQTBEQW8Ug","Внук попитал дядо си: - Дядо, къде е фенерчето? - Защо ти е фенерче? - Отивам на среща. Дядото казал: - На времето ходехме на срещи без фенерчета. - Ами, виж (сочи с пръст към баба си), че си я намерил в тъмното.","Дядовци",24007
"QIE1g_OoVa","Частна клиника ""Здраве"" Ценоразпис пред гинекологичния кабинет: 1. Професор - 50 лева. 2. Доктор на медицинските науки - 40 лева. 3. Кандидат на икономическите науки - 30 лева. 4. Доктор - 20 лева. 5. Медицинска сестра - 10 лева. 6. Санитарка - 5 лева. 7. Охрана - 2 лева.","Гинеколози",15710
"qhXje_xumT","Прибира се Иванчо от училище със забележка в бележника ""Много говори"". Баща му се подписва и допълва - ""А вие да чуете майка му...""","Иванчо",36831
"qhlJcb92TE","- Докторе, болен съм, имам температура, боли ме гърлото, кашлям, обща слабост. Това свински грип ли е? - Анализите, уважаеми, показват, че имате обикновена атипична пневмония, а за нея вече фармацевтите и медиците си получиха своя дял, впрочем както и за птичия грип. Затова, кихайте на воля и пийте чай с лимон. Вие на практика сте здрав! Следващия!","Доктори",14645
"QhKi0TDVUoj","Играе сина на един програмист на някаква игри с коли( някакви ралита) и казва: - Страшна игра! Каква кола, какви писти, само, че пътищата неестествено равни... Бащата: - Пътищата не са по българския стандарт...","Синове",40387
"Qh2l2cEc3-G","Влизат въоръжени престъпници в една банка и крещят: - Горе ръцете! Никой да не мърда! А сега всички да легнат на пода! Всички лягат. Старши касиерът шепне на секретарката: - Заеми прилична поза. Това е обир, а не купон у шефа... легни по корем поне!","Банки",13299
"QG4curujTP-","Вежливото таралежче си вървяло през гората и срещнало Костенурките Нинджа. То се поклонило и учтиво поздравило: - Здравей, Леонардо! - Здравей, Ежко! - Здравей, Донатело! - Здравей, Ежко! - Здравей, Микеланджело! - Здравей, Рафаело! - Здравей, Ежко! И таралежчето продължило нататък и срещнало Teen Titans. Пак почнало да поздравява: - Здравей, Робин! - Здравей, Ежко! - Здравей, Рейвън! - Здравей, Ежко! - Здравей, Бийст Бой! - Здравей, Ежко! - Здравей, Старфайър! - Здравей, Ежко! - Здравей, Сайборг! - Здравей, Ежко! Вежливото таралежче продължило напред и налетяло на Бременските музиканти и пак почнало: - Здравей, магаре! - Здравей, Ежко! - Здравей, куче! - Здравей, Ежко! - Здравей, котка! - Здравей, Ежко! - Здравей, петел! - Здравей, Ежко! И таралежчето продължило още по-напред и срещнало Али Баба и 40-те разбойници. То пак почнало: - Здравей, Али Баба! Но Али Баба извикал: - Писна ми от тебе!","Животни",19288
"qfFOddu-9o","Из писмо до един мъж: ""Ако ще ползваш жена ми - то поне поеми част от разходите...""","Жени",19497
"qfaAQWGxzJ","Африканец, американец и българин отишли на състезание кой ще стой по-дълго в пещера. Влезнал африканецът и отвътре се чуло: - Аз съм Джо синьото око! - африкаецът се изплашил и избягал.  Влезнал американецът и пак отвътре се чуло: - Аз съм Джо синьото око! - побягнал и той. Влезнал българинът и тамам се подготвил да спи, попръцкал си и се чуло: - Аз съм Джо синьото око! А българина казал: - Абе, айде млъкни, да не ти насиня и другото!","Разни",16508
"qF8OyTPVG4","Срещат се двама приятели. Единия пита: - Защо си натъжен? - Имах сън - Клаудия Шифър, Наоми Кембъл и още няколко страшни мацки се бият с моята жена за мен! - И??! - Жената победи!!!","Жени",23085
"qdoHE5laaJG","- Днес Бойко Борисов обяви, че Доган бил организирал атентат срещу него, още през 2009-та година. Сигурно е взел някакви мерки, за да оцелее... - Да... разруши барбекюто на Доган.","Разни",13553
"QCLSp9M2uG","В кухнята на луксозен ресторант. Жена с вечерен тоалет мие чиниите и ги подава на мъж в смокинг, за да ги подсушава:   - Какви ястия само. Ами десерта - разкош. А шампанското?! Всичко беше толкова хубаво, но следващия път моля те, като ме каниш на романтична вечеря за Свети Валентин, нека е валидна кредитната ти карта.","Жени",20547
"qayq2C2b9Y0","Съдията: - Подсъдими, трябва да казвате истината, само истината и нищо друго. Подсъдимия: - Истината, истината, истината...","Подсъдими",38867
"Q_zKf4zvTEU","- Келнер, сигурен съм, че готвачът на вашия ресторант няма да може да яде това ядене!  - Господине, готвачът ни е тук за да готви, а не да кисне по болниците!","Келнери",70717
"q9Qz8AFMaYF","Учителка пита децата: - Какви бихте искали да станете като станете големи? Иванчо: - Аз искам да стана дебил. Учителката, изумена пита: - Защо, Иванчо? - Като се разхождаме с татко в квартала, той постоянно казва: ""Виж го тоз дебил, каква кола има, виж го тоз дебил каква къща има...","Иванчо",35713
"Q9jKyIGGGV","Съобщават по радиото за убийството на Доктора. Бат Бойко скача в колата и газ към местопрестъплението. На средата на пътя натиска спирачките! Бааа мааа му, аз не съм вече в МВР!!!","Доктори",14472
"q8bBRtfII5W","Пристига посетител в лудницата и гледа - всичките луди обикалят по коридорите с по едно кормило в ръка и викат ""бръм, бръм"" като коли. Отива в кабинета на главния лекар и го пита: - Абе какво става с тия вашите луди? Малко странно се държат май? Глваният лекар вади едно кормило от чекмеджето и казва: - Я да идем да видим.","Разни",40409
"Q6k5TgfeNrw","Жена към мъжа си: - Нали не си забравил, че днес ще имаме много гости? Мъжът веднага отива в антрето, взима всички чадъри и ги прибира в килера. Жена му учудено: - Какво? Страх те, че гостите ще откраднат чадърите ли? - Не, страх ме, че ще си ги познаят!","Жени",19484
"q67ruDP1ty5","Две блондинки на летище: - Марче, тия самолети как ги отвличат? Виж ги какви са големи! - О, ти си много глупава! Не знаеш ли, че като излетят, стават малки!?!","Блондинки",39217
"q5DzADfLMzk","Млад габровец започнал работа и след месец носи вкъщи първата си заплата - 500лв. След месец носи вече 499, а след още един 498. Тогава баща му го извикал на сериозен разговор: - Хайде, признай си, що за мръсница е тази, за която харчиш пари?","Заплати",32036
"q4qbBnwljM","Две костенурки в пустинята. Водата е на привършване. Едната казала: ""Отивам за вода, в напръсника има три капки, да не ги изпиеш до като се върна?"" ""Няма"", обещала другата. ...Изминал цял месец! Тогава тази , която останала при напръсника, се опитала да отпие една капка. В тоя момент зад една дюна се чуло: ""Ако ще си правим номера, по-добре да не тръгвам?!?""","Животни",19350
"Q4JtwS0CQR","Мъж към жена си: - Скъпа, кой ден е днес? - Събота. - А аз мислех, че утре е понеделник, странно - с теб един ден като два минава.","Мъже",15596
"q2y6FP7OVtv","Веднъж баба и внуче си объркали таблетките. Внукът заспал на фейс-контрола... Бабата оплела четириметров чорап...","Баби",13839
"q1IeSmLCZSJ","- Как е вашето име? - Благодаря, добре.","Блондинки",39170
"pZxhEQwwdlA","Мутра пита друга: - Защо си купил този стар ""Москвич""? - За да плаша сина за лошо поведение. - Как така? - Заплашвам го, че ще му го подаря за рождения ден вместо ""Мерцедес""!","Борци",14170
"PZcz3zPLCc","- Докторе, защо моя мъж говори на сън? - Вероятно госпожо, не му давате да се обади през деня!","Доктори",14370
"pZ6A1u4h0i","Блондинки решават кръстословица: - Муцка, знаеш ли кой е богът на плодородието на народите от далечния север... с 8 букви... - Вертолет, разбира се.","Блондинки",37211
"pyn5K-Fj2C","Пожарникари подпират стълба на прозореца на горяща сграда. Оказва се, че прозорецът е на една баня. По стълбата се катери млад пожарникар. В банята се къпе млада брюнетка.  - Аха, вие сте втората бременна която спасявам в този град! - възкликва пожарникарят. - Ама, аз не съм бременна. - Ама, аз още не съм ви спасил...","Брюнетки",12904
"PXkZI5d86DD","Студент към професора: - Сънувах, че си изкарвам изпита! Какво да направя, че да се случи наистина? - По-малко спете...","Професори",40704
"PwvEA7bxSjs","Двама цигани видели един негър: - Еее! Видя ли какъв черен циганин? - Да бе, верно! Как е възможно…?! Минал един бял човек, чул раэговора на циганите и каэал: - Абе, цигани! Това не е циганин, това е негър! Циганите се спогледали и казали: - Еее! А какви ли са техните цигани…","Негри",41711
"pWUiE8Den4","..Дълго време(15 години) исках да направя впечатление на дъщеря си. Взимах й разни неща за подаръци от чужбина, когато тук още нямаше такива стоки. Тичах 100 метра за 10 секунди. Купувах й папая, манго, авокадо. Учех с нея английски в детската градина. Написах й книжка. Купих й компютър. Правех много неща, само за да се въхити от мен, но всичко приемаше, като съвсем обичайно нещо. И ето, че преди месец моята мечта се сбъдна. Дъщеря ми погледна през рамото ми и видя моя статус във форума и се въодушеви: - О, тате, ти си МОДЕРАТОР?!","Татковци",37302
"PVmlNHyvB3","‎- Докторе, боли ме черният дроб! - Покажете си езика! - Абе, докторе, казах ви че ме боли черният дроб!! - Покажете си езика! - Докторе, шегувате ли се?! - Добре тогава, покажете си черния дроб...","Лекари",42913
"Pv27O23-v3z","Баща към сина си:  - Петьо, защо ухапа учителя по крака?  - Той се държеше с мен като с куче!","Животни",19933
"PUZ2ERdbH3","Отворил философът бутилката, оттам излятял джина: - Аз съм всемогъщия джин, ти ме освободи.. - Как ще си всемогъщ, ако не можеш от бутилката да се освободиш. - Ще ти изпълня три желания. - Създай камък, който никой да не може да повдигне. - Странно желание. Какво е второто желание? - Вдигни камъка. - Предавам се, не съм всемогъщия джин. Ще си ходя обратно в бутилката да се упражнявам. - Правилно ли беше, като ти разправях, че не си всемогъщ. - Правилно, но безполезно.","Разни",16791
"PUy-c2HFMT","В началото тя плува кроул, после брус, после бътерфайл, а накрая излезе на сушата. Изведнъж чу изплаен вик в нейна посока: - Келнер, в супата ми плува муха!!!","Животни",19359
"pUdG4yMXama","- Докторе, моята дъщеря много обича Елвис Пресли... - Е, и? Аз също съм му фен. - Да, но непрекъснато ходи на негови концерти...","Доктори",14398
"PtYs7m5VCN","- Господин директор, има две новини за вас, лоша и добра, с коя да започна? - С лошата! - Вашата жена спи с цялата фирма! А добрата - на всички много им харесва!","Жени",20221
"PtmybZWlc-","- Докторе, помогнете ми - искам спешно да отслабна! - Ето една нова и ефективна диета - ще давате кръв за анализ три пъти на ден - сутрин, обед и вечер. - Но преди даване на кръв не трябва да се яде нищо! - Точно в това е смисъла на цялата диета!","Доктори",14470
"Psv3QIBSYZa","Поручик Ржевски си спомня: - Когато още ми беше малък...","Герои",17208
"PsNEfQnuI5u","Прибира се мъж вкъщи, а жена му мие пода. Дупето й вирнато нагоре. Без да мисли, отива, гепва я за ..., вдигнал и полата, свалил си гащите и действа. Свършил си работата,а жена му се обръща и казва: - Същия простак си като колегите от работата.","Мъже",16348
"PsjVXFYWqUT","- О, колко е красиво вашето куче ! Сигурно е много умно? - Можете да се обзаложите! Вчера вечерта, по време на разходка, аз си казах: ""Изглежда сме забравили нещо!"". И какво мислите, че направи то? - Вероятно е изтичало до вкъщи и донесло забравеното нещо? - Не, то седна, почеса си ухото и започнах да мисли, какво може да сме забравили.","Животни",19397
